iter	RMSE
428	370.2830057
429	370.2781936
430	370.2730909
431	370.2648915
432	370.2614508
433	370.2578665
434	370.2530912
435	370.2481213
436	370.2449574
437	370.2396508
438	370.2342781
439	370.2267253
440	370.2215842
441	370.2197711
442	370.2101492
443	370.2068642
444	370.2002201
445	370.197526
446	370.1936991
447	370.1906337
448	370.1874082
449	370.1823358
450	370.1776606
451	370.172897
452	370.1672261
453	370.1623288
454	370.1563763
455	370.1498725
456	370.1478639
457	370.1445728
458	370.1416517
459	370.1353902
460	370.1289421
461	370.1258042
462	370.1202118
463	370.1174484
464	370.111032
465	370.1079522
466	370.1017544
467	370.0990632
468	370.0902094
469	370.0856274
470	370.0817181
471	370.0764503
472	370.0723365
473	370.0699419
474	370.0665361
475	370.0623122
476	370.0551432
477	370.0508719
478	370.0468452
479	370.0428966
480	370.0391443
481	370.0353919
482	370.0302485
483	370.0248859
484	370.0207896
485	370.0143457
486	370.0059795
487	370.0001785
488	369.9970364
489	369.9939083
490	369.9917375
491	369.9858573
492	369.9781748
493	369.9725614
494	369.9685083
495	369.9653596
496	369.9618628
497	369.954532
498	369.9484623
499	369.9445014
500	369.941175
501	369.9379887
502	369.9349676
503	369.9288238
504	369.9234782
505	369.9191879
506	369.9152533
507	369.9090787
508	369.9042042
509	369.8979817
510	369.8928842
511	369.8880385
512	369.8848793
513	369.8781505
514	369.8727936
515	369.8674153
516	369.8641681
517	369.860792
518	369.8569533
519	369.8530025
520	369.8503135
521	369.8442371
522	369.8406506
523	369.8360103
524	369.8308171
525	369.8256454
526	369.8207764
527	369.8173431
528	369.8149574
529	369.8102067
530	369.8019828
531	369.795763
532	369.7916347
533	369.7840694
534	369.7793603
535	369.7741514
536	369.7684478
537	369.7637901
538	369.7587353
539	369.7567873
540	369.7515582
541	369.7467289
542	369.7405809
543	369.7360522
544	369.7307321
545	369.7277357
546	369.7227654
547	369.7169318
548	369.7121895
549	369.707451
550	369.700756
551	369.6962071
552	369.6909161
553	369.6879744
554	369.6848581
555	369.6812923
556	369.6784885
557	369.6730062
558	369.6696299
559	369.6622717
560	369.656006
561	369.652237
562	369.6472835
563	369.6414923
564	369.638119
565	369.6333501
566	369.6288993
567	369.6238998
568	369.6204878
569	369.6144805
570	369.6117891
571	369.6056775
572	369.6015073
573	369.5996662
574	369.5960694
575	369.5888316
576	369.5818846
577	369.576709
578	369.572678
579	369.5680155
580	369.5646304
581	369.559858
582	369.5555028
583	369.5501424
584	369.5475486
585	369.5437296
586	369.5402202
587	369.5376469
588	369.5325309
589	369.5286194
590	369.5228052
591	369.5171275
592	369.5116927
593	369.5089464
594	369.5044279
595	369.499019
596	369.4946942
597	369.4898595
598	369.4840775
599	369.4797272
600	369.4760644
601	369.4721648
602	369.4696065
603	369.4672295
604	369.464096
605	369.4587007
606	369.453437
607	369.4489569
608	369.4435363
609	369.440074
610	369.4346234
611	369.4308229
612	369.4249995
613	369.4185217
614	369.4140797
615	369.410303
616	369.4063586
617	369.4022005
618	369.3983081
619	369.3938993
620	369.3901153
621	369.3860354
622	369.3794693
623	369.3747466
624	369.3720473
625	369.3695339
626	369.3646769
627	369.3580196
628	369.3555109
629	369.3514238
630	369.3460161
631	369.3409094
632	369.3356573
633	369.330936
634	369.3270444
635	369.3228398
636	369.3167911
637	369.3140392
638	369.3093938
639	369.3048671
640	369.3014888
641	369.2972399
642	369.292995
643	369.2852453
644	369.2806279
645	369.2759592
646	369.2694055
647	369.2636389
648	369.2602616
649	369.2571033
650	369.2517553
651	369.246254
652	369.2413009
653	369.2360678
654	369.2301765
655	369.2252669
656	369.2209517
657	369.2131226
658	369.2094026
659	369.2034693
660	369.1955133
661	369.1903086
662	369.1847484
663	369.1802128
664	369.1755533
665	369.169003
666	369.1645631
667	369.1593122
668	369.1533007
669	369.1476659
670	369.1425701
671	369.1386879
672	369.1290618
673	369.1251697
674	369.1196176
675	369.1133943
676	369.1098275
677	369.1024495
678	369.0988142
679	369.0916388
680	369.0889662
681	369.0827735
682	369.0760764
683	369.0716356
684	369.0655164
685	369.0612535
686	369.0545557
687	369.0498348
688	369.0445481
689	369.0397467
690	369.035575
691	369.0329899
692	369.0287939
693	369.0229188
694	369.0155891
695	369.0107953
696	369.0057983
697	369.0025667
698	368.9949608
699	368.9914787
700	368.9883112
701	368.984532
702	368.9780023
703	368.973911
704	368.9696046
705	368.9635537
706	368.9570497
707	368.9470539
708	368.941156
709	368.9332474
710	368.9296095
711	368.9251619
712	368.9186
713	368.91399
714	368.9110781
715	368.9072698
716	368.9026058
717	368.8957559
718	368.8913437
719	368.8878348
720	368.8836729
721	368.8801785
722	368.8748917
723	368.8695705
724	368.861466
725	368.857818
726	368.8539492
727	368.8498736
728	368.8409427
729	368.8338021
730	368.8299054
731	368.8251903
732	368.8226709
733	368.8154877
734	368.8086312
735	368.8048913
736	368.7974286
737	368.789765
738	368.7840823
739	368.7785854
740	368.7731694
741	368.7682185
742	368.7608415
743	368.7556314
744	368.7502448
745	368.7467569
746	368.7394771
747	368.7323716
748	368.7269398
749	368.7232194
750	368.7188615
751	368.7150501
752	368.7119324
753	368.7075574
754	368.7051329
755	368.6977269
756	368.6932283
